先生,1,1
你好,1,1
你,1,1
好,1,1
小姐,1,1
请问,1,1
请,1,1
问,1,1
您,1,1
贵姓,1,1
贵,1,1
姓,1,1
我,1,1
呢,1,1
叫,1,1
什么,1,1
名字,1,1
王,1,1
李,1,1
是,1,1
老师,1,1
吗,1,1
不,1,1
学生,1,1
也,1,1
中国人,1,1
中国,1,1
人,1,1
美国人,1,1
美国,1,1
那,1,2
张,1,2
照片,1,2
的,1,2
这,1,2
爸爸,1,2
妈妈,1,2
个,1,2
男孩子,1,2
男,1,2
孩子,1,2
谁,1,2
他,1,2
弟弟,1,2
女孩子,1,2
女,1,2
妹妹,1,2
她,1,2
女儿,1,2
有,1,2
儿子,1,2
没,1,2
小,1,2
高,1,2
家,1,2
几,1,2
哥哥,1,2
两,1,2
姐姐,1,2
和,1,2
做,1,2
英文,1,2
律师,1,2
都,1,2
大学生,1,2
大学,1,2
医生,1,2
张,1,2
一月,1,3
二月,1,3
三月,1,3
四月,1,3
五月,1,3
六月,1,3
七月,1,3
八月,1,3
九月,1,3
十月,1,3
十一月,1,3
十二月,1,3
月,1,3
十二,1,3
号,1,3
星期一,1,3
星期二,1,3
星期三,1,3
星期四,1,3
星期五,1,3
星期六,1,3
星期天,1,3
星期,1,3
天,1,3
生日,1,3
生,1,3
日,1,3
今年,1,3
年,1,3
多大,1,3
多,1,3
大,1,3
十八,1,3
岁,1,3
请,1,3
吃,1,3
晚饭,1,3
晚,1,3
饭,1,3
吃饭,1,3
怎么样,1,3
太…了,1,3
谢谢,1,3
喜欢,1,3
还是,1,3
可是,1,3
好,1,3
我们,1,3
点钟,1,3
点,1,3
钟,1,3
半,1,3
晚上,1,3
见,1,3
再见,1,3
再,1,3
小白,1,3
白,1,3
现在,1,3
刻,1,3
事,1,3
明天,1,3
忙,1,3
今天,1,3
很,1,3
为什么,1,3
为,1,3
因为,1,3
还有,1,3
同学,1,3
认识,1,3
周末,1,4
打球,1,4
打,1,4
球,1,4
看,1,4
电视,1,4
电,1,4
视,1,4
唱歌,1,4
唱,1,4
歌,1,4
跳舞,1,4
跳,1,4
舞,1,4
听,1,4
音乐,1,4
对,1,4
有时候,1,4
时候,1,4
看书,1,4
书,1,4
电影,1,4
影,1,4
常常,1,4
那,1,4
去,1,4
外国,1,4
请客,1,4
昨天,1,4
所以,1,4
好久,1,4
久,1,4
不错,1,4
错,1,4
想,1,4
觉得,1,4
有意思,1,4
意思,1,4
只,1,4
睡觉,1,4
睡,1,4
算了,1,4
找,1,4
别的,1,4
呀,1,5
进,1,5
快,1,5
进来,1,5
来,1,5
介绍,1,5
一下,1,5
高兴,1,5
漂亮,1,5
坐,1,5
在,1,5
哪儿,1,5
工作,1,5
学校,1,5
喝,1,5
点儿,1,5
茶,1,5
咖啡,1,5
啤酒,1,5
酒,1,5
吧,1,5
要,1,5
杯,1,5
可乐,1,5
可以,1,5
对不起,1,5
给,1,5
水,1,5
玩儿,1,5
图书馆,1,5
瓶,1,5
一起,1,5
聊天,1,5
